book_id,authors,original_publication_year,title,average_rating,ratings_count,image_url
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
19,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
20,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,Alice Sebold,2002.0,The Lovely Bones,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
25,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg
26,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
27,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
28,William Golding,1954.0,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
29,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg
30,Gillian Flynn,2012.0,Gone Girl,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg
31,Kathryn Stockett,2009.0,The Help,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg
32,John Steinbeck,1937.0,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
33,Arthur Golden,1997.0,Memoirs of a Geisha,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
34,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg
35,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg
36,Lois Lowry,1993.0,"The Giver (The Giver, #1)",4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
37,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg
38,Audrey Niffenegger,2003.0,The Time Traveler's Wife,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg
39,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg
40,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg
41,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg
42,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
43,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg
44,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg
46,Sara Gruen,2006.0,Water for Elephants,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg
47,Markus Zusak,2005.0,The Book Thief,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg
48,Ray Bradbury,1953.0,Fahrenheit 451,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg
49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg
50,Shel Silverstein,1974.0,Where the Sidewalk Ends,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg
51,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg
52,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg
53,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg
54,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg
55,Aldous Huxley,1932.0,Brave New World,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg
56,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg
57,Sue Monk Kidd,2001.0,The Secret Life of Bees,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg
58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg
60,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg
61,Paula Hawkins,2015.0,The Girl on the Train,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg
62,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg
63,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
64,Jodi Picoult,2004.0,My Sister's Keeper,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg
65,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,Margaret Mitchell,1936.0,Gone with the Wind,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,Khaled Hosseini,2007.0,A Thousand Splendid Suns,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,Stephen King,1977.0,The Shining (The Shining #1),4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,Stephenie Meyer,2008.0,"The Host (The Host, #1)",3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,John Green,2005.0,Looking for Alaska,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,Jeannette Walls,2005.0,The Glass Castle,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,Jon Krakauer,1996.0,Into the Wild,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,Shel Silverstein,1964.0,The Giving Tree,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,John Grisham,1989.0,A Time to Kill,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,John Green,2008.0,Paper Towns,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,William Goldman,1973.0,The Princess Bride ,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,S.E. Hinton,1967.0,The Outsiders,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,Frances Hodgson Burnett,1911.0,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg
95,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,Barbara Kingsolver,1998.0,The Poisonwood Bible,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,David Sedaris,2000.0,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,Maurice Sendak,1963.0,Where the Wild Things Are,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,Cormac McCarthy,2006.0,The Road,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg
107,Nicholas Sparks,1999.0,A Walk to Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,Kim Edwards,2005.0,The Memory Keeper's Daughter,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,Joseph Heller,1961.0,Catch-22,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,Jeffrey Eugenides,2002.0,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,Amy Tan,1989.0,The Joy Luck Club,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,Margaret Atwood,1985.0,The Handmaid's Tale,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg
122,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,Emma Donoghue,2010.0,Room,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,Frank Herbert,1965.0,Dune (Dune Chronicles #1),4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,Walter Isaacson,2011.0,Steve Jobs,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,Ernest Hemingway,1952.0,The Old Man and the Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,John Steinbeck,1939.0,The Grapes of Wrath,3.92,322321,https://images.gr-assets.com/books/1352912927m/4395.jpg
133,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,"Stieg Larsson, Reg Keeland",2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,Andy Weir,2012.0,The Martian,4.39,423344,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,Ken Follett,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
144,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,Dan Brown,2001.0,Deception Point,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,Donna Tartt,2013.0,The Goldfinch,3.87,396756,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,Jay Asher,2007.0,Thirteen Reasons Why,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,Tracy Chevalier,1999.0,Girl with a Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,Gayle Forman,2009.0,"If I Stay (If I Stay, #1)",3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,Anita Diamant,1997.0,The Red Tent,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,Rick Riordan,2006.0,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,Nicholas Sparks,2006.0,Dear John,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,Cassandra Clare,2008.0,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,William Shakespeare,1606.0,Macbeth,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,J.R.R. Tolkien,1954.0,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,Emily Giffin,2004.0,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,"Roald Dahl, Quentin Blake",1964.0,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,Rick Riordan,2008.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,Charles Dickens,1860.0,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,J.R.R. Tolkien,1955.0,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg
163,Rick Riordan,2010.0,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,Rainbow Rowell,2013.0,Eleanor & Park,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,George R.R. Martin,2005.0,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,Ally Condie,2010.0,"Matched (Matched, #1)",3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,Neil Gaiman,2001.0,"American Gods (American Gods, #1)",4.11,378019,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,"Stephen King, Bernie Wrightson",1978.0,The Stand,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,Nicholas Sparks,2008.0,The Last Song,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,Dan Brown,1998.0,Digital Fortress,3.6,423019,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,"Jane Austen, Fiona Stafford",1815.0,Emma,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Anna Karenina,4.02,297472,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,Anthony Burgess,1962.0,A Clockwork Orange,3.98,431195,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,William Paul Young,2007.0,The Shack,3.74,419539,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,Rick Riordan,2009.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,Stephen King,1986.0,It,4.18,292592,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,"Fyodor Dostoyevsky, David McDuff",1866.0,Crime and Punishment,4.18,380903,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,Sylvia Plath,1963.0,The Bell Jar,3.98,401605,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,Frank McCourt,1996.0,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,3.99,372099,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,Truman Capote,1965.0,In Cold Blood,4.05,381652,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,"Kami Garcia, Margaret Stohl",2009.0,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,Cassandra Clare,2010.0,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,"Roald Dahl, Quentin Blake",1988.0,Matilda,4.29,440743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,Erin Morgenstern,2011.0,The Night Circus,4.03,429543,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,Philippa Gregory,2001.0,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,Scott Westerfeld,2005.0,"Uglies (Uglies, #1)",3.86,449073,https://images.gr-assets.com/books/1443904172m/24770.jpg
189,J.R.R. Tolkien,1955.0,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
190,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,4.35,398018,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,Patrick Rothfuss,2007.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,Malcolm Gladwell,2008.0,Outliers: The Story of Success,4.11,353011,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby-Dick or, The Whale",3.46,358050,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,Chuck Palahniuk,1996.0,Fight Club,4.2,365349,https://images.gr-assets.com/books/1357128997m/5759.jpg
197,Charlaine Harris,2001.0,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,https://images.gr-assets.com/books/1468560853m/301082.jpg
198,Alice Walker,1982.0,The Color Purple,4.17,376766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
199,John Grogan,2005.0,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,https://images.gr-assets.com/books/1308858322m/12691.jpg
200,Agatha Christie,1939.0,And Then There Were None,4.23,408983,https://images.gr-assets.com/books/1391120695m/16299.jpg
201,Dan Brown,2009.0,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,https://images.gr-assets.com/books/1358274396m/6411961.jpg
202,Becca Fitzpatrick,2009.0,"Hush, Hush (Hush, Hush, #1)",4.0,448166,https://images.gr-assets.com/books/1358261334m/6339664.jpg
205,Anne Rice,1976.0,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,https://images.gr-assets.com/books/1380631642m/43763.jpg
206,Kiera Cass,2012.0,"The Selection (The Selection, #1)",4.15,505340,https://images.gr-assets.com/books/1322103400m/10507293.jpg
